"Proveniencia de Visitas Locales 2024-2025, Carr186",,,
Municipio_ID,Municipio,Visita,
72001,Adjuntas Municipio,0%,
72003,Aguada Municipio,0%,
72005,Aguadilla Municipio,0%,
72007,Aguas Buenas Municipio,0%,
72009,Aibonito Municipio,0%,
72013,Arecibo Municipio,1%,
72017,Barceloneta Municipio,0%,
72019,Barranquitas Municipio,0%,
72021,Bayamón Municipio,5%,
72023,Cabo Rojo Municipio,0%,
72025,Caguas Municipio,3%,
72029,Canóvanas Municipio,6%,
72031,Carolina Municipio,14%,
72033,Cataño Municipio,1%,
72035,Cayey Municipio,0%,
72037,Ceiba Municipio,0%,
72039,Ciales Municipio,0%,
72041,Cidra Municipio,0%,
72043,Coamo Municipio,0%,
72047,Corozal Municipio,1%,
72049,Culebra Municipio,0%,
72051,Dorado Municipio,1%,
72053,Fajardo Municipio,2%,
72054,Florida Municipio,0%,
72055,Guánica Municipio,0%,
72057,Guayama Municipio,0%,
72059,Guayanilla Municipio,0%,
72061,Guaynabo Municipio,4%,
72063,Gurabo Municipio,2%,
72065,Hatillo Municipio,0%,
72067,Hormigueros Municipio,0%,
72069,Humacao Municipio,1%,
72071,Isabela Municipio,0%,
72075,Juana Díaz Municipio,0%,
72077,Juncos Municipio,2%,
72083,Las Marías Municipio,0%,
72085,Las Piedras Municipio,0%,
72087,Loíza Municipio,3%,
72089,Luquillo Municipio,2%,
72091,Manatí Municipio,0%,
72097,Mayagüez Municipio,0%,
72101,Morovis Municipio,0%,
72103,Naguabo Municipio,0%,
72105,Naranjito Municipio,0%,
72109,Patillas Municipio,0%,
72113,Ponce Municipio,1%,
72115,Quebradillas Municipio,0%,
72117,Rincón Municipio,0%,
72119,Río Grande Municipio,19%,
72121,Sabana Grande Municipio,0%,
72123,Salinas Municipio,0%,
72125,San Germán Municipio,0%,
72127,San Juan Municipio,18%,
72129,San Lorenzo Municipio,0%,
72131,San Sebastián Municipio,0%,
72133,Santa Isabel Municipio,0%,
72135,Toa Alta Municipio,1%,
72137,Toa Baja Municipio,2%,
72139,Trujillo Alto Municipio,4%,
72141,Utuado Municipio,0%,
72143,Vega Alta Municipio,0%,
72145,Vega Baja Municipio,1%,
72149,Villalba Municipio,0%,
72151,Yabucoa Municipio,0%,
72153,Yauco Municipio,0%,
Grand Total,,100%,
"Proveniencia de Visitas Fuera de PR 2024-2025, Carr186",,,
International,,1%,
US Total,,5%,
PR Total,,94%,
Grad Total,,100%,
